SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
21-AA-0063,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Marin
33-AA-0341,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
36-AA-0470,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Bernardino
33-AA-0347,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
19-AA-1129,Chipping and Grinding Facility/Operation,Closed,Composting,Solid Waste Facility,Los Angeles
26-CR-0019,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Mono
43-AA-0036,Research Composting Operation,Closed,Composting,Solid Waste Operation,Santa Clara
31-AA-0638,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Placer
21-AA-0068,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Marin
19-AA-1131,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
01-AA-0310,Small Volume C&D Wood Debris Chipping and Grinding Operation,Active,Transfer/Processing,Solid Waste Operation,Alameda
56-AA-0171,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Ventura
19-AR-1260,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
36-AA-0482,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Bernardino
50-AA-0049,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
39-AA-0055,Green Material Composting Operation,Planned,Composting,Solid Waste Operation,San Joaquin
50-AA-0050,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
43-AN-0039,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
01-CR-0050,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
38-AA-0022,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Francisco
19-AA-1138,Large Volume Transfer/Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,Los Angeles
41-AA-0198,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,San Mateo
